coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
167,Hinkey Haines,1,1931,4,1,3,0,.250,-2,0,0,0,0,,7.0,7,0,0,0
168,George Halas,40,1920-1967,497,318,148,31,.682,170,8,9,6,3,.667,2.7,1,6,0,0
169,Todd Haley,3,2009-2011,45,19,26,0,.422,-7,1,1,0,1,.000,3.0,1,0,0,0
170,Phil Handler,5,1943-1951,38,4,34,0,.105,-30,0,0,0,0,,4.6,3,0,0,0
171,Ray Handley,2,1991-1992,32,14,18,0,.438,-4,0,0,0,0,,4.0,4,0,0,0
172,Jim Hanifan,7,1980-1989,93,39,53,1,.425,-14,1,1,0,1,.000,3.9,3,0,0,0
173,Bo Hanley,1,1924,5,0,4,1,.000,-4,0,0,0,0,,16.0,16,0,0,0
174,Dick Hanley,1,1946,3,1,1,1,.500,0,0,0,0,0,,4.0,4,0,0,0
175,Hal Hanson,1,1932,12,2,7,3,.222,-5,0,0,0,0,,8.0,8,0,0,0
176,Jim Harbaugh,4,2011-2014,64,44,19,1,.695,25,3,8,5,3,.625,1.8,1,,,1
177,John Harbaugh,7,2008-2014,112,72,40,0,.643,32,6,15,10,5,.667,2.0,1,1,1,1
178,Jim Haslett,7,2000-2008,108,47,61,0,.435,-14,1,2,1,1,.500,2.7,1,0,0,0
179,Norb Hecker,3,1966-1968,31,4,26,1,.133,-22,0,0,0,0,,5.0,4,0,0,0
180,Ernie Hefferle,1,1975,8,1,7,0,.125,-6,0,0,0,0,,4.0,4,0,0,0
181,Jack Hegarty,1,1921,3,1,2,0,.333,-1,0,0,0,0,,12.0,12,0,0,0
182,Mel Hein,1,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
183,Jack Heldt,1,1926,7,1,6,0,.143,-5,0,0,0,0,,19.0,19,0,0,0
184,Gus Henderson,1,1939,11,6,5,0,.545,1,0,0,0,0,,3.0,3,0,0,0
185,Dutch Hendrian,1,1923,5,0,5,0,.000,-5,0,0,0,0,,16.0,16,0,0,0
186,Dan Henning,7,1983-1991,112,38,73,1,.344,-35,0,0,0,0,,4.1,3,0,0,0
187,Pete Henry,2,1926-1928,23,3,17,3,.150,-14,0,0,0,0,,14.0,8,0,0,0
188,Wally Hess,3,1922-1924,18,3,12,3,.200,-9,0,0,0,0,,13.3,10,0,0,0
189,Red Hickey,5,1959-1963,55,27,27,1,.500,0,0,0,0,0,,4.4,2,0,0,0
190,Max Hicks,1,1921,5,1,3,1,.250,-2,0,0,0,0,,13.0,13,0,0,0
191,Austin Higgins,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
192,Bob Hollway,2,1971-1972,28,8,18,2,.315,-10,0,0,0,0,,4.0,4,0,0,0
193,Mike Holmgren,17,1992-2008,272,161,111,0,.592,50,12,24,13,11,.542,1.8,1,1,1,3
194,Mike Holovak,9,1961-1976,108,52,47,9,.525,5,1,2,1,1,.500,2.8,1,0,0,0
195,Lou Holtz,1,1976,13,3,10,0,.231,-7,0,0,0,0,,4.0,4,0,0,0
196,Arnie Horween,2,1923-1924,22,13,8,1,.619,5,0,0,0,0,,7.0,6,0,0,0
197,Jim Lee Howell,7,1954-1960,84,53,27,4,.663,26,3,4,2,2,.500,2.0,1,1,,
198,Tommy Hudspeth,2,1976-1977,24,11,13,0,.458,-2,0,0,0,0,,3.0,3,0,0,0
199,Ken Huffine,1,1920,1,0,1,0,.000,-1,0,0,0,0,,14.0,14,0,0,0
200,Ed Hughes,1,1971,14,4,9,1,.308,-5,0,0,0,0,,3.0,3,0,0,0
201,Tommy Hughitt,5,1920-1924,56,34,15,7,.694,19,0,0,0,0,,6.0,1,0,0,0
202,Hal Hunter,1,1984,1,0,1,0,.000,-1,0,0,0,0,,4.0,4,0,0,0
